02 9 0 0 24 5016 1 24 102 0 3,98
02 9 0 0 24 5016 7 24 102 0 1,70
02 9 0 0 24 5016 8 26 102 0 0,42
02 9 0 0 24 5020 2 20 102 0 2,84
02 9 0 0 24 5020 3 88 114 0 0,13
02 9 0 0 24 5020 4 50 102 0 3,55
02 9 0 0 24 5020 6 36 102 0 1,12
02 9 0 0 24 5020 8 86 114 0 1,03
02 9 0 0 24 5020 11 80 114 0 2,67
02 9 0 0 24 5020 15 11 101 10 0,05
02 9 0 0 24 5020 16 36 102 0 4,47
02 9 0 0 24 5020 22 51 102 0 1,41
02 9 0 0 24 5020 30 31 102 0 6,90
02 9 0 0 24 5020 53 36 102 0 0,76
02 9 0 0 24 5020 54 36 102 0 1,26
02 9 0 0 24 5020 64 46 102 0 0,13
02 9 0 0 24 5020 76 104 347 5 0,25
02 9 0 0 24 5020 78 18 102 0 0,14
02 9 0 0 24 5020 86 34 102 0 1,25
02 9 0 0 24 5020 96 4 101 10 0,24
02 9 0 0 24 5020 114 30 102 0 1,19
02 9 0 0 24 5022 2 41 102 0 0,30
02 9 0 0 24 5022 3 31 102 0 0,30
02 9 0 0 24 5023 22 98 335 0 0,05
02 9 0 0 24 5023 26 50 102 0 0,13
02 9 0 0 24 5023 137 20 102 0 0,06
02 9 0 0 24 5368 2 24 102 0 1,93
02 9 0 0 24 5368 4 24 102 0 2,16
02 9 0 0 24 5368 10 24 102 0 1,31
02 9 0 0 24 5368 11 26 102 0 0,70
02 9 0 0 24 5369 1 24 102 0 0,19
02 9 0 0 24 5369 9 24 102 0 0,05
02 9 0 0 25 5003 2 21 102 0 2,01
02 9 0 0 25 5004 2 21 102 0 0,03
02 9 0 0 25 5005 2 21 102 0 0,10
02 9 0 0 25 5006 2 21 102 0 0,09
02 9 0 0 25 5007 1 38 102 0 2,72
02 9 0 0 25 5014 1 23 102 0 9,38
02 9 0 0 25 5014 3 23 102 0 8,51
02 9 0 0 25 5014 4 90 330 0 0,07
02 9 0 0 25 5014 6 91 330 0 0,08
02 9 0 0 25 5014 18 23 102 0 15,50
02 9 0 0 25 5015 2 64 114 0 0,07
02 9 0 0 25 5017 2 13 101 10 0,30
02 9 0 0 25 5019 2 66 114 0 0,15
02 9 0 0 25 5026 2 27 102 0 0,10
02 9 0 0 25 5026 4 37 102 0 0,19
02 9 0 0 25 5026 6 42 102 0 0,03
02 9 0 0 25 5026 8 94 335 0 0,03
02 9 0 0 25 5026 11 37 102 0 0,01
02 9 0 0 25 5027 2 103 335 0 0,01
02 9 0 0 25 5030 1 55 104 7 0,04
02 9 0 0 25 5032 2 25 102 0 0,04
02 9 0 0 25 5033 2 27 102 0 1,72
02 9 0 0 25 5033 5 70 114 0 0,03
02 9 0 0 25 5033 10 25 102 0 0,42
02 9 0 0 25 5035 1 27 102 0 0,09
02 9 0 0 25 5036 2 27 102 0 0,05
02 9 0 0 25 5037 2 27 102 0 0,13
02 9 0 0 25 5038 1 42 102 0 0,03
02 9 0 0 25 5039 1 42 102 0 0,88
02 9 0 0 25 5039 2 68 114 0 0,13
02 9 0 0 25 5039 4 67 114 0 0,03
02 9 0 0 25 5039 5 48 102 0 0,43
02 9 0 0 25 5041 1 72 114 0 0,03
02 9 0 0 25 5041 2 37 102 0 1,88
02 9 0 0 25 5041 3 71 114 0 0,06
02 9 0 0 25 5041 4 69 114 0 0,09
02 9 0 0 25 5041 5 78 114 0 0,07
02 9 0 0 25 5041 9 33 102 0 1,33
02 9 0 0 25 5041 10 37 102 0 0,45
02 9 0 0 25 5042 2 33 102 0 0,06
02 9 0 0 25 5044 2 74 114 0 0,03
02 9 0 0 25 5044 3 47 102 0 1,41
02 9 0 0 25 5044 4 60 104 19 0,34
02 9 0 0 25 5044 8 102 335 0 0,02
02 9 0 0 25 5044 9 83 114 0 0,02
02 9 0 0 25 5044 10 97 335 0 0,01
02 9 0 0 25 5047 1 61 104 19 0,31
02 9 0 0 25 5049 2 3 20 901 0,42
02 9 0 0 25 5050 1 45 102 0 0,73
02 9 0 0 25 5055 2 19 102 0 0,28
02 9 0 0 25 5056 1 19 102 0 1,02
02 9 0 0 25 5056 2 65 114 0 0,06
02 9 0 0 25 5057 1 19 102 0 0,66
02 9 0 0 25 5057 2 89 114 0 0,11
